"","FECHA","TIENDA","CODPROD","DESCRIPCION","MEDIDA","UNI","VENTA","PRECIOUNITARIO","ACABADO","dia"
"169",2018-10-03,"Z12 TIENDA ZONA 12","12-1326-0","ESCUADRA HOJA S/4600","01",8,73.57,9.19625,NA,"mié\."
"170",2018-10-03,"Z12 TIENDA ZONA 12","12-1328-0","ESCUADRA TETON CERCO Y FIJO S/4600","01",4,36.79,9.1975,NA,"mié\."
"171",2018-10-03,"Z12 TIENDA ZONA 12","61-191","ESCUADRA CEDAZO","01",76,8.48,0.111578947368421,NA,"mié\."
"172",2018-10-03,"Z12 TIENDA ZONA 12","62-94-2","RODO DOBLE METAL SERIE 2000","01",2,17.86,8.93,NA,"mié\."
"173",2018-10-03,"Z12 TIENDA ZONA 12","631402","CERCO LISO VENTANA","20",1,155.36,155.36,"CT","mié\."
"174",2018-10-03,"Z12 TIENDA ZONA 12","63423","TUBO 3 X 1-3/4 X 0.070","21",2,583.93,291.965,"CT","mié\."
"175",2018-10-03,"Z12 TIENDA ZONA 12","634601","CERCO PERIMETRAL S/4600","20",2,553.57,276.785,"CT","mié\."
"176",2018-10-03,"Z12 TIENDA ZONA 12","634604","TAPA HOJA CENTRAL","20",1,74.82,74.82,"CT","mié\."
"177",2018-10-03,"Z12 TIENDA ZONA 12","634605","HOJA PERIMETRAL","20",2,408.93,204.465,"CT","mié\."
"178",2018-10-04,"Z12 TIENDA ZONA 12","02007","ZARANDA LIVIANA","21",1,25.89,25.89,"AN","jue\."
"179",2018-10-04,"Z12 TIENDA ZONA 12","02136","FIJO PW","21",6,459.64,76.6066666666667,"AN","jue\."
"180",2018-10-04,"Z12 TIENDA ZONA 12","02354","RIEL SUPERIOR MOSTRADOR NT","21",3,128.57,42.8566666666667,"AN","jue\."
"181",2018-10-04,"Z12 TIENDA ZONA 12","02355","CALZA MOSTRADOR NT","21",2,94.46,47.23,"AN","jue\."
"182",2018-10-04,"Z12 TIENDA ZONA 12","02365","RIEL INFERIOR VC-2000","10.5",1,50.89,50.89,"AN","jue\."
"183",2018-10-04,"Z12 TIENDA ZONA 12","02366","JAMBA HOJA VC-2000","21",1,85.71,85.71,"AN","jue\."
"184",2018-10-04,"Z12 TIENDA ZONA 12","02367","RIEL SUPERIOR VC-2000","21",1,129.93,129.93,"AN","jue\."
"185",2018-10-04,"Z12 TIENDA ZONA 12","02369","JAMBA INTERMEDIA VC-2000","21",1,109.54,109.54,"AN","jue\."
"186",2018-10-04,"Z12 TIENDA ZONA 12","02400","TUBO 1 x 1 x 0.045","21",8,492.86,61.6075,"AN","jue\."
"187",2018-10-04,"Z12 TIENDA ZONA 12","02421","TUBO 1-3/4 x 1 x 0.046","21",5,491.07,98.214,"AN","jue\."
"188",2018-10-04,"Z12 TIENDA ZONA 12","02423","TUBO 3 x 1-3/4 x 0.070","21",2,512.5,256.25,"AN","jue\."
